id,name,city,score
1,Person_1,City_2,99
2,Person_2,City_3,98
3,Person_3,City_4,97
4,Person_4,City_5,96
5,Person_5,City_6,95
6,Person_6,City_7,94
7,Person_7,City_8,93
8,Person_8,City_9,92
9,Person_9,City_10,91
10,Person_10,City_1,90
11,Person_11,City_2,89
12,Person_12,City_3,88
13,Person_13,City_4,87
14,Person_14,City_5,86
15,Person_15,City_6,85
16,Person_16,City_7,84
17,Person_17,City_8,83
18,Person_18,City_9,82
19,Person_19,City_10,81
20,Person_20,City_1,80
21,Person_21,City_2,79
22,Person_22,City_3,78
23,Person_23,City_4,77
24,Person_24,City_5,76
25,Person_25,City_6,75
